iter	Passed	Remaining
293	27423	252408
294	27514	252293
295	27588	252026
296	27682	251940
297	27778	251868
298	27871	251778
299	27962	251662
300	28057	251585
301	28130	251307
302	28220	251188
303	28315	251116
304	28403	250975
305	28494	250861
306	28582	250726
307	28667	250557
308	28756	250431
309	28849	250341
310	28943	250251
311	29044	250230
312	29145	250203
313	29240	250128
314	29320	249926
315	29414	249838
316	29510	249768
317	29604	249681
318	29695	249572
319	29796	249542
320	29891	249464
321	29980	249338
322	30077	249278
323	30172	249201
324	30265	249106
325	30358	249012
326	30452	248925
327	30542	248808
328	30638	248736
329	30734	248666
330	30823	248544
331	30916	248451
332	31008	248345
333	31093	248189
334	31192	248140
335	31284	248041
336	31371	247896
337	31463	247798
338	31561	247747
339	31659	247689
340	31752	247597
341	31845	247500
342	31937	247397
343	32029	247301
344	32125	247226
345	32210	247071
346	32309	247024
347	32404	246947
348	32492	246811
349	32579	246671
350	32665	246525
351	32753	246397
352	32844	246289
353	32915	246029
354	33010	245954
355	33103	245860
356	33199	245790
357	33290	245679
358	33380	245568
359	33414	245039
360	33505	244931
361	33598	244838
362	33682	244683
363	33768	244542
364	33861	244450
365	33952	244344
366	34048	244276
367	34137	244154
368	34230	244068
369	34329	244019
370	34422	243923
371	34512	243816
372	34595	243655
373	34681	243509
374	34774	243418
375	34868	243340
376	34968	243295
377	35032	243001
378	35134	242977
379	35226	242877
380	35316	242768
381	35403	242633
382	35493	242521
383	35578	242379
384	35667	242258
385	35762	242183
386	35859	242123
387	35954	242047
388	36051	241980
389	36148	241915
390	36252	241898
391	36383	242058
392	36479	241988
393	36578	241936
394	36675	241874
395	36767	241776
396	36863	241698
397	36953	241587
398	37050	241522
